utime (s),X (G),Y (G),Z (G)
1713036732.7128925,-1.375,1.7353515625,1.4736328125
1713036732.7271059,-1.373046875,1.0166015625,1.927734375
1713036732.7413204,-1.1943359375,0.447265625,1.3603515625
1713036732.755561,-1.033203125,0.298828125,0.97265625
1713036732.769784,-0.36328125,-0.3291015625,0.6796875
1713036732.784002,0.25390625,-0.7294921875,0.15234375
1713036732.7982223,0.8779296875,-1.6796875,-0.3017578125
1713036732.8124425,1.1103515625,-1.953125,-0.787109375
1713036732.8266637,1.291015625,-1.9873046875,-0.396484375
1713036732.8408833,0.9951171875,-1.9912109375,0.1015625
1713036732.8551023,0.57421875,-1.81640625,0.181640625
1713036732.8693464,-0.271484375,-0.658203125,0.111328125
1713036732.8835647,-1.1005859375,0.1318359375,0.666015625
1713036732.8977828,-1.5380859375,1.357421875,1.78515625
1713036732.9120016,-1.828125,1.9130859375,1.943359375
1713036732.9261932,-1.8681640625,1.982421875,1.986328125
1713036732.9404016,-1.1728515625,0.8720703125,1.9873046875
1713036732.9546113,-0.724609375,-0.22265625,1.3037109375
1713036732.9688623,0.037109375,-1.328125,0.3564453125
1713036732.9830856,1.283203125,-1.8232421875,-0.9501953125
1713036732.9973052,0.8125,-1.970703125,-1.8173828125
1713036733.011527,0.6376953125,-1.9892578125,-1.734375
1713036733.0257478,0.3125,-1.9912109375,-0.5908203125
1713036733.0399816,-0.4326171875,-1.783203125,0.4658203125
1713036733.0542035,-1.060546875,-0.1953125,0.9345703125
1713036733.068447,-1.462890625,1.65234375,1.716796875
1713036733.0826674,-1.4140625,1.9052734375,1.9580078125
1713036733.096885,-1.3505859375,1.853515625,1.625
1713036733.111104,-1.0537109375,1.470703125,1.5302734375
1713036733.1253319,-0.5400390625,0.724609375,1.7080078125
1713036733.1395512,-0.11328125,-0.0087890625,1.2021484375
1713036733.1537702,0.5361328125,-1.41796875,1.009765625
1713036733.1680133,1.2421875,-1.9111328125,0.341796875
1713036733.1822348,1.17578125,-1.9736328125,-0.18359375
1713036733.1964517,1.044921875,-1.9892578125,-0.029296875
1713036733.2106683,0.388671875,-1.8935546875,-0.646484375
1713036733.2248914,-0.12109375,-0.9912109375,-0.4892578125
1713036733.2391105,-0.60546875,-0.3349609375,0.61328125
1713036733.2533283,-0.76953125,0.6640625,1.443359375
1713036733.267543,-0.8642578125,1.244140625,1.9228515625
1713036733.2817914,-1.0615234375,1.6474609375,1.9755859375
1713036733.2960095,-1.1240234375,1.8994140625,1.919921875
1713036733.310228,-0.7783203125,1.0703125,1.9658203125
1713036733.3244486,-0.3095703125,0.064453125,1.7138671875
1713036733.338667,0.6845703125,-1.6318359375,1.0869140625
1713036733.3528876,1.1318359375,-1.9462890625,-0.9580078125
1713036733.3671088,1.1123046875,-1.99609375,-1.66015625
1713036733.3813546,0.5751953125,-1.962890625,0.1015625
1713036733.39558,0.1904296875,-1.2421875,1.353515625
1713036733.409801,-0.224609375,-0.2353515625,1.4404296875
1713036733.424022,-0.55078125,0.35546875,1.341796875
1713036733.4382145,-0.5,0.615234375,1.49609375
1713036733.4524243,-0.36328125,0.611328125,1.4482421875
1713036733.4666371,-0.2626953125,0.328125,1.005859375
1713036733.480876,-0.068359375,0.12109375,0.9765625
1713036733.4950876,0.119140625,-0.1943359375,0.9189453125
1713036733.5092995,0.3349609375,-0.5693359375,0.8076171875
1713036733.5235069,0.408203125,-0.6279296875,0.8125
1713036733.5377176,0.330078125,-0.5361328125,0.87890625
1713036733.5519297,0.294921875,-0.466796875,0.890625
1713036733.5661407,0.1640625,-0.37890625,0.93359375
1713036733.5803776,0.19140625,-0.423828125,0.9248046875
